"AOA","CM"
"16.900000","-0.011700"
"17.000000","-0.011200"
"17.100000","-0.010800"
"17.200001","-0.011000"
"17.299999","-0.010800"
"17.400000","-0.010500"
"17.500000","-0.010200"
"17.600000","-0.009900"
"17.799999","-0.009500"
"17.900000","-0.009400"
"18.000000","-0.011100"
"18.100000","-0.011200"
"18.200001","-0.011200"
"18.299999","-0.011200"
"18.400000","-0.011200"
"18.600000","-0.011700"
"19.100000","-0.016200"
"19.500000","-0.023500"
"19.600000","-0.024300"
"20.799999","-0.045500"
"21.000000","-0.050900"
"22.000000","-0.074020"
"23.000000","-0.097140"
"24.000000","-0.120260"
"25.000000","-0.143379"
"26.000000","-0.166499"
"27.000000","-0.189619"
"28.000000","-0.212739"
"29.000000","-0.235859"
"30.000000","-0.258979"
"31.000000","-0.282099"
"32.000000","-0.305218"
"33.000000","-0.328338"
"34.000000","-0.351458"
"35.000000","-0.374578"
"36.000000","-0.397698"
"37.000000","-0.397885"
"38.000000","-0.397989"
"39.000000","-0.398049"
"40.000000","-0.398096"
"41.000000","-0.398160"
"42.000000","-0.398264"
"43.000000","-0.398425"
"44.000000","-0.398659"
"45.000000","-0.398978"
"46.000000","-0.399387"
"47.000000","-0.399894"
"48.000000","-0.400499"
"49.000000","-0.401203"
"50.000000","-0.402004"
"51.000000","-0.402898"
"52.000000","-0.403882"
"53.000000","-0.404949"
"54.000000","-0.406094"
"55.000000","-0.407308"
"56.000000","-0.408584"
"57.000000","-0.409915"
"58.000000","-0.411293"
"59.000000","-0.412709"
"60.000000","-0.414157"
"61.000000","-0.415628"
"62.000000","-0.417115"
"63.000000","-0.418612"
"64.000000","-0.420110"
"65.000000","-0.421604"
"66.000000","-0.423089"
"67.000000","-0.424557"
"68.000000","-0.426006"
"69.000000","-0.427429"
"70.000000","-0.428823"
"71.000000","-0.430185"
"72.000000","-0.431511"
"73.000000","-0.432799"
"74.000000","-0.434046"
"75.000000","-0.435251"
"76.000000","-0.436412"
"77.000000","-0.437529"
"78.000000","-0.438600"
"79.000000","-0.439625"
"80.000000","-0.440606"
"81.000000","-0.441540"
"82.000000","-0.442431"
"83.000000","-0.443277"
"84.000000","-0.444081"
"85.000000","-0.444842"
"86.000000","-0.445563"
"87.000000","-0.446246"
"88.000000","-0.446890"
"89.000000","-0.447498"
"90.000000","-0.448070"
"91.000000","-0.448610"
"92.000000","-0.449116"
"93.000000","-0.449592"
"94.000000","-0.450037"
"95.000000","-0.450453"
"96.000000","-0.450840"
"97.000000","-0.451199"
"98.000000","-0.451529"
"99.000000","-0.451831"
"100.000000","-0.452104"
"101.000000","-0.464325"
"102.000000","-0.465382"
"103.000000","-0.466370"
"104.000000","-0.467288"
"105.000000","-0.468137"
"106.000000","-0.468913"
"107.000000","-0.469615"
"108.000000","-0.470240"
"109.000000","-0.470786"
"110.000000","-0.471248"
"111.000000","-0.471624"
"112.000000","-0.471908"
"113.000000","-0.472097"
"114.000000","-0.472184"
"115.000000","-0.472166"
"116.000000","-0.472036"
"117.000000","-0.471788"
"118.000000","-0.471416"
"119.000000","-0.470913"
"120.000000","-0.470272"
"121.000000","-0.469487"
"122.000000","-0.468550"
"123.000000","-0.467453"
"124.000000","-0.466189"
"125.000000","-0.464751"
"126.000000","-0.463130"
"127.000000","-0.461320"
"128.000000","-0.459312"
"129.000000","-0.457100"
"130.000000","-0.454675"
"131.000000","-0.452030"
"132.000000","-0.449159"
"133.000000","-0.446055"
"134.000000","-0.442712"
"135.000000","-0.439122"
"136.000000","-0.435282"
"137.000000","-0.431186"
"138.000000","-0.426828"
"139.000000","-0.422206"
"140.000000","-0.417316"
"141.000000","-0.412154"
"142.000000","-0.406720"
"143.000000","-0.401012"
"144.000000","-0.395031"
"145.000000","-0.388776"
"146.000000","-0.382251"
"147.000000","-0.375459"
"148.000000","-0.368406"
"149.000000","-0.361100"
"150.000000","-0.353552"
"151.000000","-0.345774"
"152.000000","-0.337787"
"153.000000","-0.329615"
"154.000000","-0.321293"
"155.000000","-0.312870"
"156.000000","-0.304412"
"157.000000","-0.296021"
"158.000000","-0.287844"
"159.000000","-0.280112"
"160.000000","-0.273189"
"161.000000","-0.267672"
"162.000000","-0.264559"
"163.000000","-0.265518"
"164.000000","-0.273238"
"165.000000","-0.291364"
"166.000000","-0.322153"
"167.000000","-0.359041"
"168.000000","-0.382056"
"169.000000","-0.376881"
"170.000000","-0.351787"
"171.000000","-0.320692"
"172.000000","-0.288916"
"173.000000","-0.256814"
"174.000000","-0.224396"
"175.000000","-0.191675"
"176.000000","-0.158658"
"177.000000","-0.125357"
"178.000000","-0.091782"
"179.000000","-0.057942"
"180.000000","-0.023682"
